id,title,category_name,username,view_count,upvote_count,share_count,engagement_score,created_at
11,Recipe for a flow state,Vible,afrobeezy,64,45,8,178,2023-10-23 19:20:07
12,Why fit in..?,Vible,afrobeezy,54,42,0,138,2023-10-23 21:32:05
13,Transcending Singularity,Vible,afrobeezy,75,20,0,115,2023-10-23 21:36:53
14,Peak Performance?,Vible,afrobeezy,95,71,0,237,2023-10-23 21:48:07
15,Our Existential Situation,Vible,afrobeezy,72,64,0,200,2023-10-23 21:56:08
16,act now!,Vible,afrobeezy,68,45,0,158,2023-10-23 21:59:56
17,Jump. Just Jump!,Vible,afrobeezy,81,27,0,135,2023-10-23 22:05:06
19,WE ARE MADE OF STARS,Vible,afrobeezy,137,63,1,266,2023-10-23 22:11:52
23,Direct your energy on the right things,Vible,afrobeezy,72,39,0,150,2023-10-24 17:34:41
26,Be Brave. Be Different,Vible,afrobeezy,57,44,3,154,2023-10-24 17:40:05
27,Consistency,Vible,afrobeezy,93,6,0,105,2023-10-25 19:50:21
28,Reprogram your subconscious mind,Vible,afrobeezy,65,30,0,125,2023-10-25 20:01:29
29,How to be disciplined,Vible,afrobeezy,77,42,0,161,2023-10-25 20:03:37
30,Ask yourself,Vible,afrobeezy,79,69,0,217,2023-10-25 20:11:46
31,Don't laugh,Vible,afrobeezy,144,66,0,276,2023-10-25 20:14:09
32,always choose peace over drama,Vible,afrobeezy,80,58,1,199,2023-10-25 20:15:43
33,Enough is enough,Vible,afrobeezy,74,41,0,156,2023-10-25 20:16:17
34,Learn to think,Vible,afrobeezy,38,67,0,172,2023-10-26 20:08:49
35,Life is shorter than you think,Vible,afrobeezy,53,73,0,199,2023-10-26 20:14:02
36,Knowledge will liberate you,Vible,afrobeezy,83,73,0,229,2023-10-26 20:15:13
38,meditate🧘‍♂️,Vible,mike,87,45,0,177,2023-10-30 15:03:10
39,take the holy vible pill :),Vible,mike,71,37,1,148,2023-10-30 15:08:33
40,trials to test you...,Vible,mike,74,43,0,160,2023-10-30 15:09:41
43,why are you here?,Vible,mike,95,41,0,177,2023-10-30 15:20:39
44,escape the matrix,Vible,mike,134,54,0,242,2023-10-30 15:22:09
46,reject cheap dopamine,Vible,mike,55,21,0,97,2023-10-30 15:33:38
47,be aware...,Vible,mike,56,16,0,88,2023-10-30 15:35:07
49,2 truths to set you free,Vible,mike,51,44,0,139,2023-10-30 15:40:30
50,LIVE!,Vible,mike,32,25,1,85,2023-10-30 15:44:02
52,Matthew 25:29,Vible,mike,103,81,0,265,2023-10-30 15:46:38
54,Change your environment!,Vible,mike,40,40,0,120,2023-10-31 14:44:03
56,keep on fighting!! 😤,Vible,mike,65,55,0,175,2023-10-31 14:47:25
58,act now!,Vible,afrobeezy,66,43,0,152,2023-11-01 15:14:13
59,push through the pain 🫡,Vible,afrobeezy,80,56,0,192,2023-11-01 15:15:30
60,flip the switch,Vible,afrobeezy,79,64,0,207,2023-11-01 15:16:08
61,Beff Jezos - More energy is Good e/acc,E/ACC,afrobeezy,42,54,0,150,2023-11-02 22:36:54
62,what is e/acc,E/ACC,afrobeezy,18,52,0,122,2023-11-02 22:37:49
63,This app is literally steroids for your brain,E/ACC,jack,54,65,0,184,2023-11-03 17:04:33
64,Gratitude/Acc 🖖🫡,E/ACC,jack,87,41,0,169,2023-11-03 17:07:39
65,"tiktok steals your dreams, we help you attain them",E/ACC,jack,36,59,0,154,2023-11-03 17:30:30
66,A new dawn of personalized computing is is front of you rn,E/ACC,jack,97,18,0,133,2023-11-03 17:45:12
67,BLOOMSDAY IS COMING 🥰,E/ACC,jack,78,50,0,178,2023-11-03 17:46:07
68,DYSON SPHERE,E/ACC,afrobeezy,33,24,0,81,2023-11-04 01:16:02
69,new culture e/acc,E/ACC,afrobeezy,11,24,0,59,2023-11-04 01:17:06
70,is e/acc religion?,E/ACC,afrobeezy,40,16,0,72,2023-11-04 01:18:22
71,choose…,E/ACC,afrobeezy,33,11,0,55,2023-11-06 01:15:52
72,how would you?,E/ACC,afrobeezy,4,6,0,16,2023-11-06 01:17:42
73,elevate,E/ACC,afrobeezy,20,83,0,186,2023-11-06 01:19:19
74,war of images,E/ACC,afrobeezy,41,67,0,175,2023-11-06 01:20:28
75,what is reality?,E/ACC,afrobeezy,37,57,0,151,2023-11-06 01:21:16
77,escape the matrix,E/ACC,afrobeezy,48,51,0,150,2023-11-06 01:27:06
78,choose your path,E/ACC,afrobeezy,19,22,0,63,2023-11-06 01:29:34
79,psywar,E/ACC,afrobeezy,45,15,0,75,2023-11-06 01:37:35
80,don’t get distracted,E/ACC,afrobeezy,17,66,0,149,2023-11-06 01:38:48
81,how are the 2023 fitness goals going?,The Igloo,kinha,128,53,0,234,2023-11-06 11:27:20
82,Decide to be extraodinary and do,Vible,kinha,88,33,0,154,2023-11-06 12:50:17
83,Clarity brings power.,Vible,kinha,68,48,0,164,2023-11-06 12:56:54
84,Just focus on today.,Vible,kinha,100,84,0,268,2023-11-06 13:01:31
85,Fun fact: Oscar Wilde was a homosexual. I think that sort of adds another layer of perspective to this quote. Almost as if he was viewing the relationships between men and women from an outside point of view.,Vible,kinha,58,19,0,96,2023-11-06 13:05:57
86,Revolutionizing Men's Mental Health: Your $0.99 Matters,Vible,kinha,129,32,0,193,2023-11-06 13:09:08
88,are you going to make it?,E/ACC,afrobeezy,9,60,0,129,2023-11-07 03:56:47
89,"it all begins in your mind, never give up!",E/ACC,afrobeezy,40,19,0,78,2023-11-07 04:00:53
90,you’re in a danger of living life so comfortable,E/ACC,afrobeezy,23,11,0,45,2023-11-07 04:02:29
91,you’re your greatest ally,E/ACC,afrobeezy,42,27,0,96,2023-11-07 04:03:52
93,do not conform to a dying society,E/ACC,afrobeezy,73,13,0,99,2023-11-07 04:06:10
94,the historical man,E/ACC,afrobeezy,45,51,0,147,2023-11-07 04:08:48
95,modern life is set up to distract you,E/ACC,afrobeezy,68,26,0,120,2023-11-07 04:13:45
97,awakening,E/ACC,afrobeezy,23,67,0,157,2023-11-07 04:17:37
100,,Vible,kinha,74,43,1,163,2023-11-07 13:25:18
129,,Vible,kinha,41,71,1,186,2023-11-08 17:46:23
130,,Vible,kinha,94,28,0,150,2023-11-08 17:47:30
131,,Vible,kinha,52,26,0,104,2023-11-08 17:48:08
132,,Vible,kinha,36,24,0,84,2023-11-08 17:49:20
133,,Vible,kinha,42,64,1,173,2023-11-08 18:13:52
135,,Vible,kinha,45,40,0,125,2023-11-08 18:14:13
137,,Vible,kinha,74,15,0,104,2023-11-08 18:14:39
138,,Vible,kinha,95,14,0,123,2023-11-08 18:30:03
142,,Vible,kinha,91,73,0,237,2023-11-08 18:37:03
143,,Vible,kinha,108,46,0,200,2023-11-08 18:40:39
147,,Vible,kinha,48,2,0,52,2023-11-08 18:41:45
148,,Vible,kinha,118,56,2,236,2023-11-08 18:42:01
150,,Vible,kinha,86,27,1,143,2023-11-08 18:42:34
151,,Vible,kinha,99,63,0,225,2023-11-08 18:42:50
152,,Vible,kinha,115,59,1,236,2023-11-08 18:43:06
153,,Vible,kinha,91,23,1,140,2023-11-08 18:43:23
154,,Vible,kinha,79,32,0,143,2023-11-08 18:43:39
155,,Vible,kinha,84,25,0,134,2023-11-08 18:43:55
156,,Vible,kinha,74,12,0,98,2023-11-08 18:44:12
158,,Vible,kinha,95,56,0,207,2023-11-08 18:44:44
159,,Vible,kinha,376,49,1,477,2023-11-08 18:44:59
160,,Vible,kinha,98,38,0,174,2023-11-08 18:45:15
161,,Vible,kinha,96,43,0,182,2023-11-08 18:45:31
163,,Vible,kinha,90,62,0,214,2023-11-09 09:22:36
164,,Vible,kinha,87,48,0,183,2023-11-09 09:23:02
165,,Vible,kinha,93,16,0,125,2023-11-09 09:23:17
166,,Vible,kinha,49,62,0,173,2023-11-09 09:23:37
167,,Vible,kinha,97,42,1,184,2023-11-09 09:24:03
168,,Vible,kinha,79,19,0,117,2023-11-09 09:24:20
169,,Vible,kinha,28,64,0,156,2023-11-09 09:24:49
171,,Vible,kinha,91,46,0,183,2023-11-09 09:25:20
173,,Vible,kinha,117,68,1,256,2023-11-09 09:26:05
175,,Vible,kinha,71,54,0,179,2023-11-09 09:27:05
176,AI Voice Edits take over Social Media,Vible,kinha,31,29,0,89,2023-11-09 10:51:11
177,New alarm clock,Vible,kinha,55,32,0,119,2023-11-09 10:52:47
186,,E/ACC,kinha,12,3,0,18,2023-11-09 11:29:55
189,,E/ACC,kinha,31,67,0,165,2023-11-09 11:30:55
190,,E/ACC,kinha,39,71,0,181,2023-11-09 11:31:11
191,,E/ACC,kinha,45,59,0,163,2023-11-09 11:31:28
193,,E/ACC,kinha,44,53,0,150,2023-11-10 16:03:15
195,,E/ACC,kinha,26,2,0,30,2023-11-10 16:07:29
196,,E/ACC,kinha,16,9,0,34,2023-11-10 16:19:31
198,,E/ACC,kinha,2,10,0,22,2023-11-10 16:20:07
200,,E/ACC,kinha,13,21,0,55,2023-11-10 16:20:55
201,,E/ACC,kinha,5,14,0,33,2023-11-10 16:21:32
202,,E/ACC,kinha,39,8,0,55,2023-11-10 16:22:02
203,,E/ACC,kinha,27,26,0,79,2023-11-10 16:22:48
205,,E/ACC,kinha,17,16,0,49,2023-11-10 16:23:57
207,,E/ACC,kinha,6,54,0,114,2023-11-10 16:25:05
209,,Vible,kinha,92,25,0,142,2023-11-13 10:32:15
211,,Vible,kinha,59,28,0,115,2023-11-13 10:33:08
212,,Vible,kinha,48,1,0,50,2023-11-13 10:33:32
213,,Vible,kinha,63,14,0,91,2023-11-13 10:33:57
216,,Vible,kinha,52,8,0,68,2023-11-13 10:47:17
219,,E/ACC,kinha,42,4,0,50,2023-11-13 10:54:00
220,,E/ACC,kinha,56,10,0,76,2023-11-13 10:54:21
